Uploaded to Postgres DB,Uploaded to popchange-data.liverpool.ac.uk,Percentage,Complete,Category,Name,Year,Table Number,Column Number,Denominator,Input File Name,Column Code,ColumnCode Length,Notes,Output Filename
,,done,x,Age,Age 75+ Males Single/Widowed/Divorced,1971,SAS07,c71s07_282,,1971_sas07_present_persons,A75pMS,6,,5a_ascii_grid1971_Age_A75pMS.asc
,,done,x,Age,Age 75+ Males Married,1971,SAS07,c71s07_296,,1971_sas07_present_persons,A75pMM,6,,5a_ascii_grid1971_Age_A75pMM.asc
,,done,x,Age,Age 75+ Females Single/Widowed/Divorced,1971,SAS07,c71s07_310,,1971_sas07_present_persons,A75pFS,6,,5a_ascii_grid1971_Age_A75pFS.asc
,,done,x,Age,Age 75+ Females Married ,1971,SAS07,c71s07_324,,1971_sas07_present_persons,A75pFM,6,,5a_ascii_grid1971_Age_A75pFM.asc
,,done,x,Age,Total Males Single/Widowed/Divorced,1971,SAS07,c71s07_325,,1971_sas07_present_persons,ATotMS,6,,5a_ascii_grid1971_Age_ATotMS.asc
,,done,x,Age,Total Males Married,1971,SAS07,c71s07_326,,1971_sas07_present_persons,ATotMM,6,,5a_ascii_grid1971_Age_ATotMM.asc
,,done,x,Age,Total Females Single/Widowed/Divorced,1971,SAS07,c71s07_327,,1971_sas07_present_persons,ATotFS,6,,5a_ascii_grid1971_Age_ATotFS.asc
,,done,x,Age,Total Females Married ,1971,SAS07,c71s07_328,,1971_sas07_present_persons,ATotFM,6,,5a_ascii_grid1971_Age_ATotFM.asc
,,done,x,Age,All Age,1981,SAS02,[81sas020050],,"1981-OA-attributes-sas02,csv",AgeAll,6,,5a_ascii_grid20160310d_GB_1981_AgeAll.asc
,,done,x,Age,Age 0 to 4,1981,SAS02,[81sas020057],,"1981-OA-attributes-sas02,csv",Age0_4,6,,5a_ascii_grid20160310d_GB_1981_Age0_4.asc
,,done,x,Age,Age 5 to 9,1981,SAS02,[81sas020064],,"1981-OA-attributes-sas02,csv",Age5_9,6,,5a_ascii_grid20160310d_GB_1981_Age5_9.asc
,,done,x,Age,Age 10 to 14,1981,SAS02,[81sas020071],,"1981-OA-attributes-sas02,csv",Age10_14,8,,5a_ascii_grid20160310d_GB_1981_Age10_14.asc
,,done,x,Age,Age 15,1981,SAS02,[81sas020078],,"1981-OA-attributes-sas02,csv",Age15,5,,5a_ascii_grid20160310d_GB_1981_Age15.asc
,,done,x,Age,Age 16 to 19,1981,SAS02,[81sas020085],,"1981-OA-attributes-sas02,csv",Age16_19,8,,5a_ascii_grid20160310d_GB_1981_Age16_19.asc
,,done,x,Age,Age 20 to 24,1981,SAS02,[81sas020092],,"1981-OA-attributes-sas02,csv",Age20_24,8,,5a_ascii_grid20160310d_GB_1981_Age20_24.asc
,,done,x,Age,Age 25 to 29,1981,SAS02,[81sas020099],,"1981-OA-attributes-sas02,csv",Age25_29,8,,5a_ascii_grid20160310d_GB_1981_Age25_29.asc
,,done,x,Age,Age 30 to 34,1981,SAS02,[81sas020106],,"1981-OA-attributes-sas02,csv",Age30_34,8,,5a_ascii_grid20160310d_GB_1981_Age30_34.asc
,,done,x,Age,Age 35 to 39,1981,SAS02,[81sas020113],,"1981-OA-attributes-sas02,csv",Age35_39,8,,5a_ascii_grid20160310d_GB_1981_Age35_39.asc
,,done,x,Age,Age 40 to 44,1981,SAS02,[81sas020120],,"1981-OA-attributes-sas02,csv",Age40_44,8,,5a_ascii_grid20160310d_GB_1981_Age40_44.asc
,,done,x,Age,Age 45 to 49,1981,SAS02,[81sas020127],,"1981-OA-attributes-sas02,csv",Age45_49,8,,5a_ascii_grid20160310d_GB_1981_Age45_49.asc
,,done,x,Age,Age 50 to 54,1981,SAS02,[81sas020134],,"1981-OA-attributes-sas02,csv",Age50_54,8,,5a_ascii_grid20160310d_GB_1981_Age50_54.asc
,,done,x,Age,Age 55 to 59,1981,SAS02,[81sas020141],,"1981-OA-attributes-sas02,csv",Age55_59,8,,5a_ascii_grid20160310d_GB_1981_Age55_59.asc
,,done,x,Age,Age 60 to 64,1981,SAS02,[81sas020148],,"1981-OA-attributes-sas02,csv",Age60_64,8,,5a_ascii_grid20160310d_GB_1981_Age60_64.asc
,,done,x,Age,Age 65 to 69,1981,SAS02,[81sas020155],,"1981-OA-attributes-sas02,csv",Age65_69,8,,5a_ascii_grid20160310d_GB_1981_Age65_69.asc
,,done,x,Age,Age 70 to 74,1981,SAS02,[81sas020162],,"1981-OA-attributes-sas02,csv",Age70_74,8,,5a_ascii_grid20160310d_GB_1981_Age70_74.asc
,,done,x,Age,Age 75 to 79,1981,SAS02,[81sas020169],,"1981-OA-attributes-sas02,csv",Age75_79,8,,5a_ascii_grid20160310d_GB_1981_Age75_79.asc
,,done,x,Age,Age 80 to 84,1981,SAS02,[81sas020176],,"1981-OA-attributes-sas02,csv",Age80_84,8,,5a_ascii_grid20160310d_GB_1981_Age80_84.asc
,,done,x,Age,Age 85 plus,1981,SAS02,[81sas020183],,"1981-OA-attributes-sas02,csv",Age85plus,9,,5a_ascii_grid20160310d_GB_1981_Age85plus.asc
,,done,x,Age,Age All Catagories,1991,SAS02,s020001,,1991-OA-attributes-sas02,AgeAll,6,,5a_ascii_grid1991_Age_AgeAll.asc
,,done,x,Age,Age 0 to 4,1991,SAS02,s020008,,1991-OA-attributes-sas02,Age0_4,6,,5a_ascii_grid1991_Age_Age0_4.asc
,,done,x,Age,Age 5 to 9,1991,SAS02,s020015,,1991-OA-attributes-sas02,Age5_9,6,,5a_ascii_grid1991_Age_Age10_14.asc
,,done,x,Age,Age 10 to 14,1991,SAS02,s020022,,1991-OA-attributes-sas02,Age10_14,8,,5a_ascii_grid1991_Age_Age15.asc
,,done,x,Age,Age 15,1991,SAS02,s020029,,1991-OA-attributes-sas02,Age15,5,,5a_ascii_grid1991_Age_Age16_17.asc
,,done,x,Age,Age 16 to 17,1991,SAS02,s020036,,1991-OA-attributes-sas02,Age16_17,8,,5a_ascii_grid1991_Age_Age18_19.asc
,,done,x,Age,Age 18 to 19,1991,SAS02,s020043,,1991-OA-attributes-sas02,Age18_19,8,,5a_ascii_grid1991_Age_Age20_24.asc
,,done,x,Age,Age 20 to 24,1991,SAS02,s020050,,1991-OA-attributes-sas02,Age20_24,8,,5a_ascii_grid1991_Age_Age25_29.asc
,,done,x,Age,Age 25 to 29,1991,SAS02,s020057,,1991-OA-attributes-sas02,Age25_29,8,,5a_ascii_grid1991_Age_Age30_34.asc
,,done,x,Age,Age 30 to 34,1991,SAS02,s020064,,1991-OA-attributes-sas02,Age30_34,8,,5a_ascii_grid1991_Age_Age35_39.asc
,,done,x,Age,Age 35 to 39,1991,SAS02,s020071,,1991-OA-attributes-sas02,Age35_39,8,,5a_ascii_grid1991_Age_Age40_44.asc
,,done,x,Age,Age 40 to 44,1991,SAS02,s020078,,1991-OA-attributes-sas02,Age40_44,8,,5a_ascii_grid1991_Age_Age45_49.asc
,,done,x,Age,Age 45 to 49,1991,SAS02,s020085,,1991-OA-attributes-sas02,Age45_49,8,,5a_ascii_grid1991_Age_Age50_54.asc
,,done,x,Age,Age 50 to 54,1991,SAS02,s020092,,1991-OA-attributes-sas02,Age50_54,8,,5a_ascii_grid1991_Age_Age55_59.asc
,,done,x,Age,Age 55 to 59,1991,SAS02,s020099,,1991-OA-attributes-sas02,Age55_59,8,,5a_ascii_grid1991_Age_Age5_9.asc
,,done,x,Age,Age 60 to 64,1991,SAS02,s020106,,1991-OA-attributes-sas02,Age60_64,8,,5a_ascii_grid1991_Age_Age60_64.asc
,,done,x,Age,Age 65 to 69,1991,SAS02,s020113,,1991-OA-attributes-sas02,Age65_69,8,,5a_ascii_grid1991_Age_Age65_69.asc
,,done,x,Age,Age 70 to 74,1991,SAS02,s020120,,1991-OA-attributes-sas02,Age70_74,8,,5a_ascii_grid1991_Age_Age70_74.asc
,,done,x,Age,Age 75 to 79,1991,SAS02,s020127,,1991-OA-attributes-sas02,Age75_79,8,,5a_ascii_grid1991_Age_Age75_79.asc
,,done,x,Age,Age 80 to 84,1991,SAS02,s020134,,1991-OA-attributes-sas02,Age80_84,8,,5a_ascii_grid1991_Age_Age80_84.asc
,,done,x,Age,Age 85 to 98,1991,SAS02,s020141,,1991-OA-attributes-sas02,Age85_89,8,,5a_ascii_grid1991_Age_Age85_89.asc
,,done,x,Age,Age 90 plus,1991,SAS02,s020148,,1991-OA-attributes-sas02,Age90plus,9,,5a_ascii_grid1991_Age_Age90plus.asc
,,#N/A,20160822,Total Population,Usual Resident Population: All people,2001,KS001,ks0010001,,2001-OA-attributes_ks001.csv,UsRsPopA,8,,5a_ascii_grid2001_Total_Population_UsRsPopA
,,#N/A,20160822,Total Population,Usual Resident Population: Males,2001,KS001,ks0010002,,2001-OA-attributes_ks001.csv,UsRsPopM,8,,5a_ascii_grid2001_Total_Population_UsRsPopM
,,#N/A,20160822,Total Population,Usual Resident Population: Females,2001,KS001,ks0010003,,2001-OA-attributes_ks001.csv,UsRsPopF,8,,5a_ascii_grid2001_Total_Population_UsRsPopF
,,#N/A,20160822,Total Population,Usual Resident Population: People in Households,2001,KS001,ks0010004,,2001-OA-attributes_ks001.csv,UsRsPopH,8,,5a_ascii_grid2001_Total_Population_UsRsPopH
,,#N/A,20160822,Total Population,Usual Resident Population: People living in communal establishments,2001,KS001,ks0010005,,2001-OA-attributes_ks001.csv,UsRsPopC,8,,5a_ascii_grid2001_Total_Population_UsRsPopC
,,#N/A,20160822,Total Population,Usual Resident Population: Students away from home,2001,KS001,ks0010006,,2001-OA-attributes_ks001.csv,UsRsPopS,8,,5a_ascii_grid2001_Total_Population_UsRsPopS
,,#N/A,20160822,Total Population,Usual Resident Population: All people,2011,KS101,KS101EW0001,,2011-OA-attributes-ks101,URPopAll,8,,5a_ascii_grid2011_Total_Population_URPopAll
,,#N/A,20160822,Total Population,Usual Resident Population: Males,2011,KS101,KS101EW0002,,2011-OA-attributes-ks101,URPopM,6,,5a_ascii_grid2011_Total_Population_URPopM
,,#N/A,20160822,Total Population,Usual Resident Population: Females,2011,KS101,KS101EW0003,,2011-OA-attributes-ks101,URPopF,6,,5a_ascii_grid2011_Total_Population_URPopF
,,#N/A,20160822,Total Population,Usual Resident Population: Lives in a household,2011,KS101,KS101EW0004,,2011-OA-attributes-ks101,URPopH,6,,5a_ascii_grid2011_Total_Population_URPopH
,,#N/A,20160822,Total Population,Usual Resident Population: Lives in a communal establishment,2011,KS101,KS101EW0005,,2011-OA-attributes-ks101,URPopC,6,,5a_ascii_grid2011_Total_Population_URPopC
,,#N/A,20160822,Total Population,Usual Resident Population: Schoolchild of full-time student ages over 4 at their non term-time address,2011,KS101,KS101EW0006,,2011-OA-attributes-ks101,URPopS,6,,5a_ascii_grid2011_Total_Population_URPopS
,,#N/A,20160822,Total Population,Present residents,1991,SAS01,s010001,,1991-OA-attributes-sas01,TPPres,6,,5a_ascii_grid1991_Total_Population_TPPres.asc
,,#N/A,20160822,Total Population,Absent Residents (part of household present),1991,SAS01,s010008,,1991-OA-attributes-sas01,TPPtAb,6,,5a_ascii_grid1991_Total_Population_TPPtAb.asc
,,#N/A,20160822,Total Population,Absent residents (wholly absent household – enumerated),1991,SAS01,s010015,,1991-OA-attributes-sas01,TPAbEn,6,,5a_ascii_grid1991_Total_Population_TPAbEn.asc
,,#N/A,20160822,Total Population,Absent residents (wholly absent household – imputed),1991,SAS01,s010022,,1991-OA-attributes-sas01,TPAbIm,6,,5a_ascii_grid1991_Total_Population_TPAbIm.asc
,,#N/A,20160822,Total Population,Visitors,1991,SAS01,s010029,,1991-OA-attributes-sas01,TPVis,5,,5a_ascii_grid1991_Total_Population_TPVis.asc
,,#N/A,20160822,Total Population,Visitors – Resident in UK,1991,SAS01,s010036,,1991-OA-attributes-sas01,TPVisRUK,8,,5a_ascii_grid1991_Total_Population_TPVisRUK.asc
,,#N/A,20160822,Total Population,Visitors – Resident outside UK,1991,SAS01,s010043,,1991-OA-attributes-sas01,TPVisNR,7,,5a_ascii_grid1991_Total_Population_TPVisNR.asc
,,#N/A,20160822,Total Population,Persons Present 1991: 1971 Base,1991,SAS01,s010050,,1991-OA-attributes-sas01,TP71Bs,6,,5a_ascii_grid1991_Total_Population_TP71Bs.asc
,,#N/A,20160822,Total Population,Persons Present 1991: 1981 Base,1991,SAS01,s010057,,1991-OA-attributes-sas01,TP81Bs,6,,5a_ascii_grid1991_Total_Population_TP81Bs.asc
,,#N/A,20160822,Total Population,Persons Present 1991: 1991 Base,1991,SAS01,s010064,,1991-OA-attributes-sas01,TP91Bs,6,,5a_ascii_grid1991_Total_Population_TP91Bs.asc
,,#N/A,20160822,Total Population,All present residents,1981,SAS01,[81sas010001],,1981-OA-attributes-sas01,PBPres,6,,5a_ascii_grid1981_Total_Population_PBPres
,,#N/A,20160822,Total Population,All Absent Residents (part of household present),1981,SAS01,[81sas010008],,1981-OA-attributes-sas01,PBPtAb,6,,5a_ascii_grid1981_Total_Population_PBPtAb
,,#N/A,20160822,Total Population,All Visitors,1981,SAS01,[81sas010015],,1981-OA-attributes-sas01,PBVis,5,,5a_ascii_grid1981_Total_Population_PBVis
,,#N/A,20160822,Total Population,All Visitors – Resident in UK,1981,SAS01,[81sas010022],,1981-OA-attributes-sas01,PBVisRUK ,9,,5a_ascii_grid1981_Total_Population_PBVisRUK
,,#N/A,20160822,Total Population,All Visitors – Resident outside UK,1981,SAS01,[81sas010029],,1981-OA-attributes-sas01,PBVisNR,7,,5a_ascii_grid1981_Total_Population_PBVisNR
,,#N/A,20160822,Total Population,Persons Present 1981: 1971 Base,1981,SAS01,[81sas010036],,1981-OA-attributes-sas01,PB71Bs,6,,5a_ascii_grid1981_Total_Population_PB71Bs
,,#N/A,20160822,Total Population,Persons Present 1981: 1981 Base,1981,SAS01,[81sas010043],,1981-OA-attributes-sas01,TP81Bs,6,,5a_ascii_grid1981_Total_Population_TP81Bs
,,#N/A,20160822,Total Population,Population present,1971,SAS01,c71s01_032,,1971-OA-attributes-sas01,PBPres,6,,5a_ascii_grid1971_Total_Population_PBPres.asc
,,#N/A,20160822,Total Population,Visitors resident in LA,1971,SAS01,c71s01_033,,1971-OA-attributes-sas01,PBVisRLA,8,,5a_ascii_grid1971_Total_Population_PBVisRLA.asc
,,#N/A,20160822,Total Population,Visitors to LA: resident in GB,1971,SAS01,c71s01_034,,1971-OA-attributes-sas01,PBVisRGB,8,,5a_ascii_grid1971_Total_Population_PBVisRGB.asc
,,#N/A,20160822,Total Population,Visitors to GB,1971,SAS01,c71s01_035,,1971-OA-attributes-sas01,PBVisGB,7,,5a_ascii_grid1971_Total_Population_PBVisGB.asc
,,#N/A,20160822,Total Population,Population in private households,1971,SAS01,c71s01_036,,1971-OA-attributes-sas01,PBPHs,5,,5a_ascii_grid1971_Total_Population_PBPHs.asc
,,#N/A,20160822,Total Population,Population in private households: residents at address of enum.,1971,SAS01,c71s01_037,,1971-OA-attributes-sas01,PBPHsR,6,,5a_ascii_grid1971_Total_Population_PBPHsR.asc
,,#N/A,20160822,Total Population,Population not in private households,1971,SAS01,c71s01_038,,1971-OA-attributes-sas01,PBNPHo,6,,5a_ascii_grid1971_Total_Population_PBNPHo.asc
,,#N/A,20160822,Total Population,Population not in private households: residents at address of enum.,1971,SAS01,c71s01_039,,1971-OA-attributes-sas01,PBNPHoR,7,,5a_ascii_grid1971_Total_Population_PBNPHoR.asc
,x,x,x,Ethnicity,DATA NOT AVAILABLE,1971,-,-,,-,-,-,-,DATA NOT AVALIABLE
,x,x,x,Ethnicity,DATA NOT AVAILABLE,1981,-,-,,-,-,-,-,DATA NOT AVALIABLE
,,20161017,x,Ethnicity,Total,1991,SAS06,s060001,,1991-OA-attributes-sas06,ETotal1,7,,5a_ascii_grid1991_Ethnicity_ETotal1.asc
,,20161017,x,Ethnicity,White,1991,SAS06,s060002,,1991-OA-attributes-sas06,EWhite2,7,,5a_ascii_grid1991_Ethnicity_EWhite2.asc
,,20161017,x,Ethnicity,Black Caribbean,1991,SAS06,s060003,,1991-OA-attributes-sas06,EBlkCab3,8,,5a_ascii_grid1991_Ethnicity_EBlkCab3.asc
,,20161017,x,Ethnicity,Black Africa,1991,SAS06,s060004,,1991-OA-attributes-sas06,EBlkAfr4,8,,5a_ascii_grid1991_Ethnicity_EBlkAfr4.asc
,,20161017,x,Ethnicity,Black other,1991,SAS06,s060005,,1991-OA-attributes-sas06,EBlkOth5,8,,5a_ascii_grid1991_Ethnicity_EBlkOth5.asc
,,20161017,x,Ethnicity,Indian,1991,SAS06,s060006,,1991-OA-attributes-sas06,EIndian6,8,,5a_ascii_grid1991_Ethnicity_EIndian6.asc
,,20161017,x,Ethnicity,Pakistani,1991,SAS06,s060007,,1991-OA-attributes-sas06,EPakist7,8,,5a_ascii_grid1991_Ethnicity_EPakist7.asc
,,20161017,x,Ethnicity,Bangladeshi,1991,SAS06,s060008,,1991-OA-attributes-sas06,EBangla8,8,,5a_ascii_grid1991_Ethnicity_EBangla8.asc
,,20161017,x,Ethnicity,Chinese,1991,SAS06,s060009,,1991-OA-attributes-sas06,EChines9,8,,5a_ascii_grid1991_Ethnicity_EChines9.asc
,,20161017,x,Ethnicity,Other: Asian,1991,SAS06,s060010,,1991-OA-attributes-sas06,EOtAsn10,8,,5a_ascii_grid1991_Ethnicity_EOtAsn10.asc
,,20161017,x,Ethnicity,Other: Other,1991,SAS06,s060011,,1991-OA-attributes-sas06,EOther11,8,,5a_ascii_grid1991_Ethnicity_EOther11.asc
,,20161017,x,Ethnicity,Persons born in Ireland,1991,SAS06,s060012,,1991-OA-attributes-sas06,EBIrel12,8,,5a_ascii_grid1991_Ethnicity_EBIrel12.asc
,,20161017,x,Ethnicity,All People,2001,KS006,ks06a0001,,2001-OA-attributes_ks006,ETotal1,7,,5a_ascii_grid2001_Ethnicity_ETotal1.asc
,,20161017,x,Ethnicity,White: White British,2001,KS006,ks06a0002,,2001-OA-attributes_ks006,EWhtBrt2,8,,5a_ascii_grid2001_Ethnicity_EWhtBrt2.asc
,,20161017,x,Ethnicity,White: White Irish,2001,KS006,ks06a0003,,2001-OA-attributes_ks006,EWhtIrs3,8,,5a_ascii_grid2001_Ethnicity_EWhtIrs3.asc
,,20161017,x,Ethnicity,White: Other White,2001,KS006,ks06a0004,,2001-OA-attributes_ks006,EWhtOth4,8,,5a_ascii_grid2001_Ethnicity_EWhtOth4.asc
,,20161017,x,Ethnicity,Mixed: White and Black Caribbean,2001,KS006,ks06a0005,,2001-OA-attributes_ks006,EWhBlCb5,8,,5a_ascii_grid2001_Ethnicity_EWhBlCb5.asc
,,20161017,x,Ethnicity,Mixed: White and Black African,2001,KS006,ks06a0006,,2001-OA-attributes_ks006,EWhBlAf6,8,,5a_ascii_grid2001_Ethnicity_EWhBlAf6.asc
,,20161017,x,Ethnicity,Mixed: White and Asian,2001,KS006,ks06a0007,,2001-OA-attributes_ks006,EWhAsin7,8,,5a_ascii_grid2001_Ethnicity_EWhAsin7.asc
,,20161017,x,Ethnicity,Mixed: Other Mixed,2001,KS006,ks06a0008,,2001-OA-attributes_ks006,MixOthr8,8,,5a_ascii_grid2001_Ethnicity_MixOthr8.asc
,,20161017,x,Ethnicity,Asian or Asian British: Indian,2001,KS006,ks06a0009,,2001-OA-attributes_ks006,EAsIndn9,8,,5a_ascii_grid2001_Ethnicity_EAsIndn9.asc
,,20161017,x,Ethnicity,Asian or Asian British: Pakistani,2001,KS006,ks06a0010,,2001-OA-attributes_ks006,EAsPak10,8,,5a_ascii_grid2001_Ethnicity_EAsPak10.asc
,,20161017,x,Ethnicity,Asian or Asian British: Bangladeshi,2001,KS006,ks06a0011,,2001-OA-attributes_ks006,EAsBan11,8,,5a_ascii_grid2001_Ethnicity_EAsBan11.asc
,,20161017,x,Ethnicity,Asian or Asian British: Other Asian,2001,KS006,ks06a0012,,2001-OA-attributes_ks006,EAsOth12,8,,5a_ascii_grid2001_Ethnicity_EAsOth12.asc
,,20161017,x,Ethnicity,Black or Black British: Caribbean,2001,KS006,ks06a0013,,2001-OA-attributes_ks006,EBkCab13,8,,5a_ascii_grid2001_Ethnicity_EBkCab13.asc
,,20161017,x,Ethnicity,Black or Black British: African,2001,KS006,ks06a0014,,2001-OA-attributes_ks006,EBkAfr14,8,,5a_ascii_grid2001_Ethnicity_EBkAfr14.asc
,,20161017,x,Ethnicity,Black or Black British: Other Black,2001,KS006,ks06a0015,,2001-OA-attributes_ks006,EBlOth15,8,,5a_ascii_grid2001_Ethnicity_EBlOth15.asc
,,20161017,x,Ethnicity,Chinese or other ethnic group: Chinese,2001,KS006,ks06a0016,,2001-OA-attributes_ks006,EChine16,8,,5a_ascii_grid2001_Ethnicity_EChine16.asc
,,20161017,x,Ethnicity,Chinese or other ethnic group: Other ethnic group,2001,KS006,ks06a0017,,2001-OA-attributes_ks006,EOther17,8,,5a_ascii_grid2001_Ethnicity_EOther17.asc
,,20161017,x,Ethnicity,All People,2011,KS201,KS201EW0001,,2011-OA-attributes-ks201.csv,ETotal1,7,,5a_ascii_grid2011_Ethnicity_ETotal1.asc
,,20161017,x,Ethnicity,White: English/Welsh/Scottish/Northern Irish/British,2011,KS201,KS201EW0002,,2011-OA-attributes-ks201.csv,EWhite2,7,,5a_ascii_grid2011_Ethnicity_EWhite2.asc
,,20161017,x,Ethnicity,White: Irish,2011,KS201,KS201EW0003,,2011-OA-attributes-ks201.csv,EWhtIrs3,8,,5a_ascii_grid2011_Ethnicity_EWhtIrs3.asc
,,20161017,x,Ethnicity,White: Gypsy or Irish Traveller,2011,KS201,KS201EW0004,,2011-OA-attributes-ks201.csv,EWhTrav4,8,Not available for Scotland,5a_ascii_grid2011_Ethnicity_EWhTrav4.asc
,,20161017,x,Ethnicity,White: Other White,2011,KS201,KS201EW0005,,2011-OA-attributes-ks201.csv,EWhtOth5,8,,5a_ascii_grid2011_Ethnicity_EWhtOth5.asc
,,20161017,x,Ethnicity,Mixed/multiple ethnic groups: White and Black Caribbean,2011,KS201,KS201EW0006,,2011-OA-attributes-ks201.csv,EWhBlCb6,8,Not available for Scotland,5a_ascii_grid2011_Ethnicity_EWhBlCb6.asc
,,20161017,x,Ethnicity,Mixed/multiple ethnic groups: White and Black African,2011,KS201,KS201EW0007,,2011-OA-attributes-ks201.csv,EWhBlAf7,8,Not available for Scotland,5a_ascii_grid2011_Ethnicity_EWhBlAf7.asc
,,20161017,x,Ethnicity,Mixed/multiple ethnic groups: White and Asian,2011,KS201,KS201EW0008,,2011-OA-attributes-ks201.csv,EWhAsin8,8,,5a_ascii_grid2011_Ethnicity_EWhAsin8.asc
,,20161017,x,Ethnicity,Mixed/multiple ethnic groups: Other Mixed,2011,KS201,KS201EW0009,,2011-OA-attributes-ks201.csv,MixOthr9,8,,5a_ascii_grid2011_Ethnicity_MixOthr9.asc
,,20161017,x,Ethnicity,Asian/Asian British: Indian,2011,KS201,KS201EW0010,,2011-OA-attributes-ks201.csv,EAsInd10,8,,5a_ascii_grid2011_Ethnicity_EAsInd10.asc
,,20161017,x,Ethnicity,Asian/Asian British: Pakistani,2011,KS201,KS201EW0011,,2011-OA-attributes-ks201.csv,EAsPak11,8,,5a_ascii_grid2011_Ethnicity_EAsPak11.asc
,,20161017,x,Ethnicity,Asian/Asian British: Bangladeshi,2011,KS201,KS201EW0012,,2011-OA-attributes-ks201.csv,EAsBan12,8,,5a_ascii_grid2011_Ethnicity_EAsBan12.asc
,,20161017,x,Ethnicity,Asian/Asian British: Chinese,2011,KS201,KS201EW0013,,2011-OA-attributes-ks201.csv,EAsChn13,8,,5a_ascii_grid2011_Ethnicity_EAsChn13.asc
,,20161017,x,Ethnicity,Asian/Asian British: Other Asian,2011,KS201,KS201EW0014,,2011-OA-attributes-ks201.csv,EAsOth14,8,Not available for Scotland,5a_ascii_grid2011_Ethnicity_EAsOth14.asc
,,20161017,x,Ethnicity,Black/African/Caribbean/Black British: African,2011,KS201,KS201EW0015,,2011-OA-attributes-ks201.csv,EBkAfr15,8,,5a_ascii_grid2011_Ethnicity_EBkAfr15.asc
,,20161017,x,Ethnicity,Black/African/Caribbean/Black British: Caribbean,2011,KS201,KS201EW0016,,2011-OA-attributes-ks201.csv,EBkCab16,8,,5a_ascii_grid2011_Ethnicity_EBkCab16.asc
,,20161017,x,Ethnicity,Black/African/Caribbean/Black British: Other Black,2011,KS201,KS201EW0017,,2011-OA-attributes-ks201.csv,EBkOth17,8,Not available for Scotland,5a_ascii_grid2011_Ethnicity_EBkOth17.asc
,,20161017,x,Ethnicity,Other ethnic group: Arab,2011,KS201,KS201EW0018,,2011-OA-attributes-ks201.csv,EOtArb18,8,Not available for Scotland,5a_ascii_grid2011_Ethnicity_EOtArb18.asc
,,20161017,x,Ethnicity,Other ethnic group: Any other ethnic group,2011,KS201,KS201EW0019,,2011-OA-attributes-ks201.csv,EOther19,8,,5a_ascii_grid2011_Ethnicity_EOther19.asc
,,20161014,x,Country of Birth,All categories: Country of birth - Unit : Persons,2011,QS203,QS203EW0001,,2011-OA-attributes-qs203.csv,All,3,,5a_ascii_grid2011_Country_of_Birth_All.asc
,,20161014,x,Country of Birth,Europe - Unit : Persons,2011,QS203,QS203EW0002,,2011-OA-attributes-qs203.csv,Europe,6,,5a_ascii_grid2011_Country_of_Birth_Europe.asc
,,20161014,x,Country of Birth,Europe\ United Kingdom - Unit : Persons,2011,QS203,QS203EW0003,,2011-OA-attributes-qs203.csv,UK,2,,5a_ascii_grid2011_Country_of_Birth_Ukoth.asc
,,20161014,x,Country of Birth,Europe\ United Kingdom\ England - Unit : Persons,2011,QS203,QS203EW0004,,2011-OA-attributes-qs203.csv,UKEng,5,,5a_ascii_grid2011_Country_of_Birth_UKEng.asc
,,20161014,x,Country of Birth,Europe\ United Kingdom\ Northern Ireland - Unit : Persons,2011,QS203,QS203EW0005,,2011-OA-attributes-qs203.csv,NorthIre,8,,5a_ascii_grid2011_Country_of_Birth_NorthIre.asc
,,20161014,x,Country of Birth,Europe\ United Kingdom\ Scotland - Unit : Persons,2011,QS203,QS203EW0006,,2011-OA-attributes-qs203.csv,Scotland,8,,5a_ascii_grid2011_Country_of_Birth_Scotland.asc
,,20161014,x,Country of Birth,Europe\ United Kingdom\ Wales - Unit : Persons,2011,QS203,QS203EW0007,,2011-OA-attributes-qs203.csv,Wales,5,,5a_ascii_grid2011_Country_of_Birth_Wales.asc
,,20161014,x,Country of Birth,Europe\ Great Britain not otherwise specified - Unit : Persons,2011,QS203,QS203EW0008,,2011-OA-attributes-qs203.csv,GB,2,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_GB.asc
,,20161014,x,Country of Birth,Europe\ United Kingdom not otherwise specified - Unit : Persons,2011,QS203,QS203EW0009,,2011-OA-attributes-qs203.csv,Ukoth,5,,5a_ascii_grid2011_Country_of_Birth_UK.1.asc
,,20161014,x,Country of Birth,Europe\ Guernsey - Unit : Persons,2011,QS203,QS203EW0010,,2011-OA-attributes-qs203.csv,Guernsey,8,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_Guernsey.asc
,,20161014,x,Country of Birth,Europe\ Jersey - Unit : Persons,2011,QS203,QS203EW0011,,2011-OA-attributes-qs203.csv,Jersey,6,Not available for Scotland,5a_ascii_grid2011_Country_of_Birth_Jersey.asc
,,20161014,x,Country of Birth,Europe\ Channel Islands not otherwise specified - Unit : Persons,2011,QS203,QS203EW0012,,2011-OA-attributes-qs203.csv,Channel,7,,5a_ascii_grid2011_Country_of_Birth_Channel.asc
,,20161014,x,Country of Birth,Europe\ Isle of Man - Unit : Persons,2011,QS203,QS203EW0013,,2011-OA-attributes-qs203.csv,IsleMan,7,,5a_ascii_grid2011_Country_of_Birth_IsleMan.asc
